Movie,Month,Day,Year,Budget($M),Domestic Gross($M),Worldwide Gross($M)
The Accountant,Oct,14,2016,40,86.260045,153.060045
Devil's Advocate,Oct,17,1997,57,61.007424,153.007424
Devil's Advocate,Oct,17,1997,57,61.007424,153.007424
Saw II,Oct,28,2005,5,87.025093,152.925093
A View to a Kill,May,24,1985,30,50.32796,152.62796
The Town,Sep,17,2010,37,92.186262,152.566881
Chocolat,Dec,15,2000,25,71.30976,152.500343
Antz,Oct,2,1998,60,90.757863,152.457863
The Taking of Pelham 123,Jun,12,2009,110,65.452312,152.36437
Date Night,Apr,9,2010,55,98.711404,152.269033
Date Night,Apr,9,2010,55,98.711404,152.269033
A Time to Kill,Jul,24,1996,40,108.766007,152.266007
Phenomenon,Jul,5,1996,32,104.636382,152.036382
Evita,Dec,25,1996,55,50.047179,151.947179
Evita,Dec,25,1996,55,50.047179,151.947179
47 Ronin,Dec,25,2013,175,38.362475,151.716815
Big,Jun,3,1988,18,114.968774,151.668774
Pan,Oct,9,2015,150,35.08832,151.550856
Kari gurashi no Arietti,Feb,17,2012,23,19.19251,151.496097
The Bone Collector,Nov,5,1999,48,66.48809,151.46309
Vantage Point,Feb,22,2008,40,72.266306,150.886329
Olympus Has Fallen,Mar,22,2013,70,98.927592,150.562164
Jack and Jill,Nov,11,2011,79,74.158157,150.519217
Speed 2: Cruise Control,Jun,13,1997,110,48.097081,150.468
Tower Heist,Nov,4,2011,85,78.04657,150.422946
Mononoke-hime,Oct,29,1999,20,2.374107,150.35
Star Trek: First Contact,Nov,22,1996,46,92.027888,150
Lone Survivor,Dec,25,2013,40,125.095601,149.804632
Arthur Christmas,Nov,23,2011,85,46.462469,149.717124
The General's Daughter,Jun,18,1999,60,102.705852,149.705852
No Strings Attached,Jan,21,2011,25,70.66222,149.228078
Ghost Rider: Spirit of Vengeance,Feb,17,2012,57,51.774002,149.217355
Ghost Rider: Spirit of Vengeance,Feb,17,2012,57,51.774002,149.217355
Death Becomes Her,Jul,31,1992,55,58.42265,149.02265
Death Becomes Her,Jul,31,1992,55,58.42265,149.02265
Lights Out,Jul,22,2016,5,67.268835,148.868835
Seabiscuit,Jul,25,2003,86,120.277854,148.715342
Step Up 2 the Streets,Feb,14,2008,17.5,58.017783,148.58691
Broken Arrow,Feb,9,1996,65,70.645997,148.345997
Gremlins,Jun,8,1984,11,148.168459,148.199515
Mama,Jan,18,2013,15,71.62818,148.095566
Garfield: A Tail of Two Kitties,Jun,16,2006,60,28.426747,147.985373
Romeo+Juliet,Nov,1,1996,14.5,46.338728,147.542381
Lion,Nov,25,2016,12,51.739495,147.539495
Swordfish,Jun,8,2001,80,69.772969,147.080413
New Year’s Eve,Dec,9,2011,26,54.544638,146.850273
Friends with Benefits,Jul,22,2011,35,55.802754,146.595891
The Game Plan,Sep,28,2007,22,90.648202,146.590987
Music and Lyrics,Feb,14,2007,40,50.572589,146.196885
Resident Evil: Extinction,Sep,21,2007,45,50.648679,146.16292
Blades of Glory,Mar,30,2007,61,118.594548,145.594548
The Hateful Eight,Dec,25,2015,62,54.117416,145.44336
Surf's Up,Jun,8,2007,100,58.867694,145.395745
The Mexican,Mar,2,2001,40,66.808615,145.23825
The Exorcism of Emily Rose,Sep,9,2005,18,75.072454,144.529078
Charlotte's Web,Dec,15,2006,82.5,82.985708,143.985708
Spy Game,Nov,21,2001,90,62.36256,143.04956
Conspiracy Theory,Aug,8,1997,80,76.11899,142.783718
The Wolfman,Feb,12,2010,150,62.189884,142.634358
Power Rangers,Mar,24,2017,120,85.36445,142.36445
SpongeBob SquarePants: The Movie,Nov,19,2004,30,85.416609,142.051255
Dear John,Feb,5,2010,25,80.014842,142.033509
Legally Blonde,Jul,13,2001,18,96.493426,141.809235
National Lampoon's Animal House,Jul,28,1978,3,141.6,141.6
Gothika,Nov,21,2003,40,59.588068,141.484812
The Legend of Zorro,Oct,28,2005,80,45.575336,141.475336
Sausage Party,Aug,12,2016,19,97.670358,141.354394
Monster House,Jul,21,2006,75,73.66101,141.26737
Bad Boys,Apr,7,1995,23,65.647413,141.247413
Mona Lisa Smile,Dec,19,2003,65,63.8031,141.205169
Thunderball,Dec,29,1965,9,63.6,141.2
Scary Movie 2,Jul,4,2001,45,71.27742,141.189101
Trainwreck,Jul,17,2015,35,110.2127,141.123897
The Devil's Own,Mar,26,1997,90,42.885593,140.9
The Rugrats Movie,Nov,20,1998,28,100.494685,140.894685
Girls Trip,Jul,21,2017,28,115.108515,140.798808
The Foreigner,Oct,13,2017,35,34.393507,140.788326
Paranormal Activity 4,Oct,19,2012,5,53.900335,140.61952
Source Code,Apr,1,2011,32,54.712227,140.428499
The Jungle Book 2,Feb,14,2003,20,47.901582,140.122225
King Arthur: Legend of the Sword,May,12,2017,175,39.175066,140.012608
American Graffiti,Aug,11,1973,0.777,115,140
The Three Musketeers,Oct,21,2011,90,20.377913,139.877913
Annie,Dec,19,2014,65,85.911262,139.840525
Legend of the Guardians: The Owls of Ga'Hoole,Sep,24,2010,100,55.675313,139.716717
Towering Inferno,Dec,17,1974,14,116,139.7
17 Again,Apr,17,2009,40,64.167069,139.474906
Die Hard,Jul,15,1988,28,81.350242,139.109346
Star Trek: The Motion Picture,Dec,7,1979,35,82.258456,139
Brüno,Jul,10,2009,42,60.05453,138.708527
Bridge to Terabithia,Feb,16,2007,25,82.234139,137.984788
Platoon,Dec,19,1986,6,137.963328,137.963328
Pete’s Dragon,Aug,12,2016,65,76.233151,137.768975
Contagion,Sep,9,2011,60,75.658097,137.551594
Abraham Lincoln: Vampire Hunter,Jun,22,2012,67.5,37.519139,137.48973
Wall Street 2: Money Never Sleeps,Sep,24,2010,70,52.474616,137.431619
Last Action Hero,Jun,18,1993,85,50.016394,137.298489
RED 2,Jul,19,2013,84,53.26256,137.16256
Big Momma's House 2,Jan,27,2006,40,70.165972,137.047376
Stardust,Aug,10,2007,70,38.634938,137.022245
Anaconda,Apr,11,1997,45,65.598907,136.998907
Let’s Be Cops,Aug,13,2014,17,82.390774,136.890774
Remember the Titans,Sep,29,2000,30,115.654751,136.706683
The Pirates! Band of Misfits,Apr,27,2012,55,31.051126,136.143605
The Pirates! Band of Misfits,Apr,27,2012,55,31.051126,136.143605
Unknown,Feb,18,2011,40,63.686397,136.123083
Lost In Space,Apr,3,1998,80,69.117629,136.047317
The Bounty Hunter,Mar,19,2010,45,67.061228,135.808837
Saw IV,Oct,26,2007,10,63.300095,135.759694
Cheaper by the Dozen 2,Dec,21,2005,60,82.571173,135.01533
Sense and Sensibility,Dec,11,1995,16.5,42.993774,134.993774
The Best Exotic Marigold Hotel,May,4,2012,10,46.383639,134.63978
Pokemon 2000,Jul,21,2000,30,43.746923,133.946923
The Cat in the Hat,Nov,21,2003,109,101.018283,133.818283
Saw 3D,Oct,29,2010,17,45.710178,133.735284
Perfume: The Story of a Murderer,Dec,27,2006,63.7,2.223293,133.603463
Gods of Egypt,Feb,26,2016,140,31.153464,133.553464
La marche de l'empereur,Jun,24,2005,3.4,77.437223,133.276359
The Big Short,Dec,11,2015,28,70.25987,133.162752
Hope Springs,Aug,8,2012,30,63.536011,133.085295
Star Trek IV: The Voyage Home,Nov,26,1986,24,109.713132,133
Astérix aux Jeux Olympiques,Jul,4,2008,113.5,0.999811,132.999811
2 Guns,Aug,2,2013,61,75.61246,132.493015
A League of Their Own,Jul,1,1992,40,107.533925,132.440066
Babel,Oct,27,2006,20,34.302837,132.121212
School of Rock,Oct,3,2003,20,81.261177,131.945113
"Three Billboards Outside Ebbing, Missouri",Nov,10,2017,12,52.644562,131.537876
Munich,Dec,23,2005,75,47.37909,131.492772
Seven Years in Tibet,Oct,8,1997,70,37.945884,131.445884
Jack Ryan: Shadow Recruit,Jan,17,2014,60,50.577412,131.377412
Blade: Trinity,Dec,8,2004,65,52.397389,131.353165
1408,Jun,22,2007,22.5,71.985628,131.26337
Blade,Aug,21,1998,45,70.141876,131.237688
The Last Witch Hunter,Oct,23,2015,80,27.36766,131.234406
Law Abiding Citizen,Oct,16,2009,53,73.357727,131.159781
Law Abiding Citizen,Oct,16,2009,53,73.357727,131.159781
Bewitched,Jun,24,2005,80,63.313159,131.159306
Boomerang,Jul,1,1992,42,70.052444,131.052444
Wolf,Jun,17,1994,70,65.011757,131.011757
Man on Fire,Apr,23,2004,60,77.906816,130.968579
Mean Girls,Apr,30,2004,18,86.047227,130.953026
About a Boy,May,17,2002,27,40.803,130.759651
Cloud Atlas,Oct,26,2012,102,27.108272,130.673154
Walking with Dinosaurs,Dec,20,2013,80,36.076121,130.58073
"You, Me and Dupree",Jul,14,2006,54,75.80201,130.40201
"You, Me and Dupree",Jul,14,2006,54,75.80201,130.40201
Jingle All the Way,Nov,22,1996,60,60.592389,129.832389
Atonement,Dec,7,2007,30,50.980159,129.779728
The Fighter,Dec,10,2010,11,93.617009,129.262388
The Forbidden Kingdom,Apr,18,2008,55,52.07527,129.07527
The Forbidden Kingdom,Apr,18,2008,55,52.07527,129.07527
The Woman in Black,Feb,3,2012,15,54.33329,128.955898
The Queen,Sep,30,2006,15,56.441711,128.885873
Aliens vs. Predator - Requiem,Dec,25,2007,40,41.797066,128.884494
Space Cowboys,Aug,4,2000,65,90.454043,128.874043
The Talented Mr. Ripley,Dec,24,1999,40,81.292135,128.792135
Nanny McPhee,Jan,27,2006,25,47.279279,128.745578
Step Brothers,Jul,25,2008,65,100.468793,128.468793
The Artist,Nov,25,2011,16,44.667095,128.256712
The Shape of Water,Dec,1,2017,19.5,59.213138,128.185498
Point Break,Dec,25,2015,100,28.782481,128.131571
Blended,May,23,2014,45,46.290741,127.990741
Ender's Game,Nov,1,2013,110,61.737191,127.983283
Gandhi,Dec,8,1982,22,52.767889,127.767889
A Bad Moms Christmas,Nov,1,2017,28,72.110659,127.710659
U-571,Apr,21,2000,62,77.08603,127.63003
First Knight,Jul,7,1995,75,37.361412,127.361412
Predators,Jul,9,2010,40,52.000688,127.234389
Julie & Julia,Aug,7,2009,40,94.125426,126.646119
Pride & Prejudice,Nov,11,2005,28,38.372662,126.549607
This is the End,Jun,12,2013,32,101.470202,126.539117
American Wedding,Aug,1,2003,55,104.354205,126.425115
American Wedding,Aug,1,2003,55,104.354205,126.425115
L.A. Confidential,Sep,19,1997,35,64.604977,126.204977
Sex Tape,Jul,18,2014,40,38.543473,126.069509
Coraline,Feb,6,2009,60,75.286229,126.037057
"Legally Blonde 2: Red, White & Blonde",Jul,2,2003,25,90.639088,125.339088
I Know What You Did Last Summer,Oct,17,1997,17,72.250091,125.250091
First Blood,Oct,22,1982,14,47.212904,125.212904
Happy Death Day,Oct,13,2017,5,55.683845,124.967272
Goldfinger,Dec,22,1964,3,51.1,124.9
Ride Along 2,Jan,15,2016,40,90.862685,124.827316
Ray,Oct,29,2004,40,75.305995,124.823094
The Family Man,Dec,22,2000,60,75.764085,124.715863
Invictus,Dec,11,2009,60,37.491364,124.514011
The Thomas Crown Affair,Aug,6,1999,48,69.304264,124.304264
Big Fish,Dec,10,2003,70,66.432867,123.954323
Good Morning Vietnam,Dec,23,1987,13,123.92237,123.92237
Magic Mike XXL,Jul,1,2015,14.5,66.013057,123.70946
Hide and Seek,Jan,28,2005,25,51.100486,123.696741
Chronicle,Feb,3,2012,12,64.575175,123.68179
The Theory of Everything,Nov,7,2014,15,35.893537,123.327692
Captain Underpants: The First Epic Movie,Jun,2,2017,38,73.921,123.261024
Deepwater Horizon,Sep,30,2016,156,61.433527,122.931214
The Lego Ninjago Movie,Sep,22,2017,70,59.281555,122.780244
The Nut Job,Jan,17,2014,30,64.251538,122.529966
Tian jiang xiong shi,Sep,4,2015,65,0.07407,122.519874
Hotel for Dogs,Jan,16,2009,35,73.178547,122.357172
Save the Last Dance,Jan,12,2001,13,91.038276,122.244329
Mortal Kombat,Aug,18,1995,20,70.433227,122.133227
Executive Decision,Mar,15,1996,55,56.679192,122.079192
Executive Decision,Mar,15,1996,55,56.679192,122.079192
The Princess Diaries 2: Royal Engagement,Aug,11,2004,45,95.149435,122.071435
Poltergeist,Jun,4,1982,10.7,74.706019,121.706019
Sahara,Apr,8,2005,145,68.671925,121.671925
Intolerable Cruelty,Oct,10,2003,60,35.327628,121.327628
Starship Troopers,Nov,7,1997,100,54.768952,121.1
Apocalypto,Dec,8,2006,40,50.866635,121.032272
What to Expect When You're Expecting,May,18,2012,37.5,41.152203,120.925697
Parental Guidance,Dec,25,2012,25,77.267296,120.832383
Insidious Chapter 3,Jun,5,2015,10,52.218558,120.678444
Eight Below,Feb,17,2006,40,81.612565,120.455994
Lethal Weapon,Mar,6,1987,15,65.19235,120.19235
Volcano,Apr,25,1997,90,47.546796,120.1
Star Trek: Generations,Nov,18,1994,38,75.671262,120
Jeepers Creepers II,Aug,29,2003,25,35.623801,119.923801
Road Trip,May,19,2000,16,68.525609,119.73911
Spy Kids 2: The Island of Lost Dreams,Aug,7,2002,38,85.846296,119.721296
Surrogates,Sep,25,2009,80,38.577772,119.66835
Red Cliff,Nov,20,2009,40,0.627047,119.627047
Charlie Wilson's War,Dec,21,2007,75,66.661095,119.512771
Blazing Saddles,Feb,7,1974,2.6,119.5,119.5
The Omen,Jun,6,2006,25,54.607383,119.295584
The Shallows,Jun,24,2016,13,55.121623,118.888025
The Purge: Election Year,Jul,1,2016,10,79.04244,118.557124
Body of Lies,Oct,10,2008,67.5,39.394666,118.55653
Disturbia,Apr,13,2007,20,80.818974,118.537627
Saw V,Oct,24,2008,10.8,56.746769,118.209778
Shall We Dance?,Oct,15,2004,40,57.887882,118.097882
Star Trek: Insurrection,Dec,11,1998,70,70.187658,117.8
A Nightmare on Elm Street,Apr,30,2010,35,63.075011,117.729621
The Client,Jul,20,1994,45,92.115211,117.615211
Why Him?,Dec,23,2016,38,60.323786,117.523786
Blue Streak,Sep,17,1999,36,68.20819,117.448157
Lost in Translation,Sep,12,2003,4,44.585453,117.085297
Snow Dogs,Jan,18,2002,32,81.150692,116.898028
Water for Elephants,Apr,22,2011,38,58.709717,116.809717
Earth,Apr,22,2009,47,32.011576,116.773317
The Siege,Nov,6,1998,70,40.934175,116.625798
Closer,Dec,3,2004,35,33.987757,116.177695
Pitch Perfect,Sep,28,2012,17,65.001093,116.044347
The Notebook,Jun,25,2004,30,81.001787,116.025023
Diamonds Are Forever,Dec,17,1971,7.2,43.8,116
The Iron Lady,Jan,13,2012,14,29.959436,115.592104
Bride Wars,Jan,9,2009,30,58.71551,115.150424
Warm Bodies,Feb,1,2013,30,66.380662,115.121608
Finding Neverland,Nov,12,2004,25,51.676606,115.036108
Get Shorty,Oct,20,1995,30.25,72.021008,115.021008
Saving Mr. Banks,Dec,13,2013,35,83.299761,114.962525
The Lake House,Jun,16,2006,40,52.330111,114.830111
The Corpse Bride,Sep,23,2005,30,53.359111,114.770654
We Were Soldiers,Mar,1,2002,70,78.120196,114.658262
Freddy vs. Jason,Aug,15,2003,25,82.622655,114.576403
Coyote Ugly,Aug,4,2000,45,60.786269,113.916474
Changeling,Oct,24,2008,55,35.739802,113.80558
Changeling,Oct,24,2008,55,35.739802,113.80558
Insomnia,May,24,2002,46,67.263182,113.622499
The Score,Jul,13,2001,68,71.069884,113.542091
Judge Dredd,Jun,30,1995,85,34.687912,113.487912
Underworld: Evolution,Jan,20,2006,45,62.318875,113.417762
Prisoners,Sep,20,2013,46,61.002302,113.402302
Think Like a Man,Apr,20,2012,12,91.547205,113.373764
Species,Jul,7,1995,35,60.054449,113.354449
Arthur et les Minimoys,Jan,12,2007,80,15.132763,113.325743
Cats & Dogs: The Revenge of Kitty Galore,Jul,30,2010,85,43.585753,113.026383
The Dark Tower,Aug,4,2017,60,50.701325,113.018076
The Reader,Dec,10,2008,32.5,34.194407,112.964875
Last Vegas,Jan,28,2013,28,63.914167,112.914167
Final Destination 3,Feb,10,2006,25,54.098051,112.798051
Tooth Fairy,Jan,22,2010,48,60.022256,112.610386
Rambo,Jan,25,2008,47.5,42.754105,112.214531
Final Destination,Mar,17,2000,23,53.302314,112.03687
Frankenstein,Nov,4,1994,45,22.006296,112.006296
The Boxtrolls,Sep,26,2014,60,50.837305,111.946251
Doctor Zhivago,Dec,22,1965,11,111.721,111.859493
The Pianist,Dec,27,2002,35,32.519322,111.854182
You Only Live Twice,Jun,13,1967,9.5,43.1,111.6
The Purge: Anarchy,Jul,18,2014,9,71.56255,111.534881
White Chicks,Jun,23,2004,20,69.148997,111.448997
The 5th Wave,Jan,22,2016,38,34.912982,111.336398
Seventh Son,Feb,6,2015,95,17.725785,111.125785
Step Up,Aug,11,2006,12,65.328121,110.989157
The Net,Jul,28,1995,22,50.621733,110.521733
Free Birds,Nov,1,2013,55,55.75048,110.387072
Free Birds,Nov,1,2013,55,55.75048,110.387072
Peter Pan: Return to Neverland,Feb,15,2002,20,48.430258,109.862682
The Dukes of Hazzard,Aug,5,2005,53,80.270227,109.848461
The Dukes of Hazzard,Aug,5,2005,53,80.270227,109.848461
Hoodwinked,Jan,13,2006,17.5,51.386611,109.84339
Sideways,Oct,22,2004,17,71.502303,109.793192
Porky's,Mar,19,1982,4,109.492484,109.492484
Män som hatar kvinnor,May,29,2009,13,12.749992,109.421911
Fool's Gold,Feb,8,2008,72.5,70.231041,109.362966
Billy Elliot,Oct,13,2000,5,21.995263,109.267134
The Amityville Horror,Apr,15,2005,18.5,65.233369,109.175673
Planet 51,Nov,20,2009,60,42.19406,108.996113
One Flew Over the Cuckoo's Nest,Nov,19,1975,4.4,108.981275,108.981275
Neighbors 2: Sorority Rising,May,20,2016,35,55.34073,108.758521
Pompeii,Feb,21,2014,80,23.169033,108.469033
10 Cloverfield Lane,Mar,11,2016,5,72.082999,108.286422
ParaNorman,Aug,17,2012,60,56.003051,108.119662
Hidalgo,Mar,5,2004,78,67.286731,108.086731
The Texas Chainsaw Massacre,Oct,17,2003,9,80.571655,107.967319
The American President,Nov,17,1995,62,60.022813,107.822813
Three Kings,Oct,1,1999,48,60.652036,107.752036
Paul Blart: Mall Cop 2,Apr,17,2015,38,71.091594,107.650646
Ace Ventura: Pet Detective,Feb,4,1994,12,72.217396,107.217396
The Chronicles of Riddick,Jun,11,2004,120,57.712751,107.212751
Shaft,Jun,16,2000,53.012938,70.327868,107.190108
Shaft,Jun,16,2000,53.012938,70.327868,107.190108
About Schmidt,Dec,13,2002,30,65.005217,107.054484
Driving Miss Daisy,Dec,13,1989,7.5,106.593296,106.593296
Made of Honor,May,2,2008,40,46.012734,106.548738
Spirit: Stallion of the Cimarron,May,24,2002,80,73.21531,106.51531
Get Hard,Mar,27,2015,40,90.411453,106.511453
Mr. Holland’s Opus,Dec,29,1995,31,82.582604,106.282604
Sisters,Dec,18,2015,30,87.044645,106.03066
Mission to Mars,Mar,10,2000,90,60.874615,106
Horrible Bosses 2,Nov,26,2014,40,54.445357,105.945357
Life as We Know It,Oct,8,2010,38,53.374681,105.887837
The Man From U.N.C.L.E.,Aug,14,2015,75,45.445109,105.445109
The Brothers Grimm,Aug,26,2005,80,37.899638,105.299638
Dirty Grandpa,Jan,22,2016,11.5,35.593113,105.24141
Forgetting Sarah Marshall,Apr,18,2008,30,63.172463,105.173042
Along Came a Spider,Apr,6,2001,28,74.058698,105.159085
Cinderella Man,Jun,3,2005,88,61.649911,105.021488
Chappie,Mar,6,2015,49,31.569268,105.002056
The Campaign,Aug,10,2012,95,86.907746,104.907746
Training Day,Oct,5,2001,45,76.261036,104.505362
Vicky Cristina Barcelona,Aug,15,2008,16,23.216709,104.504817
The Tuxedo,Sep,27,2002,60,50.586,104.429625
The Prestige,Oct,20,2006,40,53.089891,104.407366
Dragonheart,May,31,1996,57,51.36468,104.36468
Dragonheart,May,31,1996,57,51.36468,104.36468
Under Siege 2: Dark Territory,Jul,14,1995,60,50.024083,104.324083
Sanctum,Feb,4,2011,30,23.20931,104.283753
Eyes Wide Shut,Jul,16,1999,65,55.691208,104.267443
Gangster Squad,Jan,11,2013,60,46.000903,104.100903
Snake Eyes,Aug,7,1998,73,55.591409,103.891409
Saw,Oct,29,2004,1.2,55.968727,103.880027
Resident Evil,Mar,15,2002,35,40.119709,103.787401
Escape Plan,Oct,18,2013,70,25.135965,103.735965
Ouija,Oct,24,2014,5,50.85601,103.683342
The Little Prince,Feb,12,2016,77.5,1.311213,103.529508
Dawn of the Dead,Mar,19,2004,28,58.990765,103.452875
The Water Horse: Legend of the Deep,Dec,25,2007,40,40.412817,103.429755
Rugrats in Paris,Nov,17,2000,30,76.501438,103.284813
Birdman or (The Unexpected Virtue of Ignorance),Oct,17,2014,18,42.340598,103.215094
Transcendence,Apr,18,2014,100,23.022309,103.039258
Project X,Mar,2,2012,12,54.731865,103.028188
Jimmy Neutron: Boy Genius,Dec,21,2001,25,80.936232,102.992536
Blue Jasmine,Jul,26,2013,18,33.404871,102.912961
My Bloody Valentine,Jan,16,2009,14,51.545952,102.836002
The Cable Guy,Jun,14,1996,47,60.240295,102.825796
The Hitchhiker's Guide to the Galaxy,Apr,29,2005,45,51.019112,102.746214
Love and Other Drugs,Nov,24,2010,30,32.367005,102.716321
Jigsaw,Oct,27,2017,10,38.052832,102.63033
Pineapple Express,Aug,6,2008,26,87.34138,102.404019
Ladder 49,Oct,1,2004,60,74.541707,102.332848
The Time Traveler's Wife,Aug,14,2009,39,63.414846,102.332135
Butch Cassidy and the Sundance Kid,Oct,24,1969,6,102.3089,102.3089
Mary Poppins,Aug,26,1964,6,102.3,102.3
Zombieland,Oct,2,2009,23.6,75.590286,102.236596
John Q,Feb,15,2002,36,71.026631,102.226631
Guess Who,Mar,25,2005,35,68.915888,102.115888
Timecop,Sep,16,1994,28,44.853581,102.053581
Kung Fu Hustle,Apr,8,2005,20,17.104669,102.034104
Shaun the Sheep,Aug,5,2015,25,19.375982,101.937062
Nim's Island,Apr,4,2008,37,48.006762,101.857425
The Devil Inside,Jan,6,2012,1,53.262945,101.75949
Little Man,Jul,14,2006,64,58.636047,101.636047
Just Married,Jan,10,2003,19,56.127162,101.564935
Miss Congeniality 2: Armed and Fabulous,Mar,24,2005,60,48.478006,101.382396
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Oct,10,2014,28,66.954149,101.379287
Mars Attacks!,Dec,13,1996,80,37.771017,101.371017
Scream 2,Dec,12,1997,24,101.363301,101.363301
Crash,May,6,2005,7.303082,55.334418,101.173038
Paul,Mar,18,2011,40,37.412945,101.162106
Joy,Dec,25,2015,60,56.451232,101.134059
Life,Mar,24,2017,58,30.234022,101.00331
Life,Mar,24,2017,58,30.234022,101.00331
Heaven is for Real,Apr,16,2014,12,91.386097,100.919111
Fight Club,Oct,15,1999,65,37.030102,100.851705
Courage Under Fire,Jul,12,1996,46,59.003384,100.833145
Just Like Heaven,Sep,16,2005,58,48.31813,100.687083
Just Like Heaven,Sep,16,2005,58,48.31813,100.687083
Vacation,Jul,29,2015,31,58.884188,100.655892
Up Close & Personal,Mar,1,1996,60,51.045801,100.645801
Little Miss Sunshine,Jul,26,2006,8,59.891098,100.642353
A Knight’s Tale,May,11,2001,41,56.083966,100.622586
No se Aceptan Devoluciones,Aug,30,2013,5,44.467206,100.486616
Any Given Sunday,Dec,22,1999,60,75.530832,100.230832
Insidious,Apr,1,2011,1.5,54.00915,99.870886
Hellboy,Apr,2,2004,60,59.623958,99.823958
Mad Max,Mar,21,1980,0.2,8.75,99.75
How to be Single,Feb,12,2016,37,46.843513,99.595932
Street Fighter,Dec,23,1994,35,33.423,99.423
Nacho Libre,Jun,16,2006,32,80.197993,99.296462
Hitman,Nov,21,2007,17.5,39.687694,99.135571
Where the Wild Things Are,Oct,16,2009,100,77.233467,99.123656
Justin Bieber: Never Say Never,Feb,11,2011,13,73.01391,99.034125
The Wild,Apr,14,2006,80,37.384046,99.010667
The Time Machine,Mar,8,2002,80,56.684819,98.98359
Philomena,Nov,22,2013,12,37.709979,98.963392
Black Mass,Sep,18,2015,53,62.575678,98.837872
Black Mass,Sep,18,2015,53,62.575678,98.837872
Paycheck,Dec,25,2003,60,53.789313,98.819789
Heaven Can Wait,Jun,28,1978,15,98.8,98.8
Les Visiteurs,Jul,12,1996,7,0.659,98.754
Bowfinger,Aug,13,1999,55,66.458769,98.699769
Bowfinger,Aug,13,1999,55,66.458769,98.699769
The Visit,Sep,11,2015,5,65.206105,98.689296
Contraband,Jan,13,2012,25,66.528,98.406855
Atomic Blonde,Jul,28,2017,30,51.573925,98.368372
Evolution,Jun,8,2001,80,38.311134,98.341932
Predator,Jun,12,1987,18,59.735548,98.267558
Rush,Sep,20,2013,38,26.947624,98.230839
Jin líng shí san chai,Jan,20,2012,100,0.311434,98.227017
Are We There Yet?,Jan,21,2005,20,82.674398,98.114471
Billy Jack,Jan,1,1971,0.8,98,98
Phone Booth,Apr,4,2003,11,46.566212,97.837138
Nanny McPhee and the Big Bang,Aug,20,2010,35,29.197642,97.799865
Evil Dead,Apr,5,2013,17,54.239856,97.778356
13 Going On 30,Apr,23,2004,37,57.139723,97.658712
The Man with the Golden Gun,Dec,20,1974,7,21,97.6
Kick-Ass,Apr,16,2010,28,48.071303,97.531134
Green Zone,Mar,12,2010,100,35.497337,97.52302
42,Apr,12,2013,40,95.020213,97.470701
Once Upon a Time in Mexico,Sep,12,2003,29,56.330657,97.413527
Inspector Gadget,Jul,23,1999,75,97.387965,97.387965
The Rite,Jan,28,2011,37,33.047633,97.143987
The Hours,Dec,27,2002,25,41.675994,97.030468
Enemy at the Gates,Mar,16,2001,85,51.396781,96.971293
Jarhead,Nov,4,2005,72,62.64754,96.94754
Ballerina,Aug,25,2017,30,21.85807,96.92307
Star Trek VI: The Undiscovered Country,Dec,6,1991,27,74.888996,96.9
My Sister's Keeper,Jun,26,2009,27.5,49.20023,96.673002
Red Eye,Aug,19,2005,26,57.891803,96.666486
The Lucky One,Apr,20,2012,25,60.457138,96.633833
Tammy,Jul,2,2014,20,84.525432,96.407655
8MM,Feb,26,1999,40,36.443442,96.398826
The Stepford Wives,Jun,11,2004,100,59.475623,96.221971
The Manchurian Candidate,Jul,30,2004,80,65.948711,96.148711
The Tigger Movie,Feb,11,2000,20,45.542421,96.147688
TMNT,Mar,23,2007,35,54.149098,96.096018
Dolphin Tale,Sep,23,2011,37,72.286779,96.068724
The 6th Day,Nov,17,2000,82,34.543701,96.024898
Scream 4,Apr,15,2011,40,38.180928,95.98959
Harlem Nights,Nov,17,1989,30,60.857262,95.857262
Poltergeist,May,22,2015,35,47.425125,95.825125
Star Trek II: The Wrath of Khan,Jun,4,1982,12,78.912963,95.8
Underworld,Sep,19,2003,22,51.97069,95.708457
The Butterfly Effect,Jan,23,2004,13,57.924679,95.638592
Killers,Jun,4,2010,75,47.059963,95.572749
Shooter,Mar,23,2007,60,47.003582,95.53856
Peter Pan,Dec,25,2003,100,48.41785,95.255485
Old Dogs,Nov,25,2009,35,49.49206,95.104304
40 Days and 40 Nights,Mar,1,2002,17,37.939782,95.092667
The Guardian,Sep,29,2006,70,55.011732,94.97354
Be Cool,Mar,4,2005,75,55.849401,94.944017
The Lovely Bones,Dec,11,2009,95,44.114232,94.894448
1941,Dec,14,1979,32,34.175,94.875
Riddick,Sep,6,2013,38,42.025135,94.763758
The Wedding Planner,Jan,26,2001,28,60.400856,94.728529
Role Models,Nov,7,2008,28,67.300955,94.500826
The Hundred-Foot Journey,Aug,8,2014,22,54.235441,94.270488
The River Wild,Sep,30,1994,45,46.815,94.215
Southpaw,Jul,24,2015,30,52.421953,94.207861
Safe Haven,Feb,14,2013,28,71.39912,94.050951
The Internship,Jun,7,2013,58,44.672764,93.672764
The Internship,Jun,7,2013,58,44.672764,93.672764
Der Untergang,Feb,18,2005,13.5,5.50194,93.631744
The Color Purple,Dec,18,1985,15,93.589701,93.589701
Money Monster,May,13,2016,27,41.012075,93.469699
