,Index,Title,Year,Total Words,Positive Words,Negative Words
0,0,Rate hikes are routing home sales group says,1995,52,1,1
0,1,Mortgage rate rarely a factor in home sales,1995,100,2,4
0,2,Finding stability in a bumpy real estate market,1995,129,4,4
0,3,Finding stability in a bumpy real estate market,1995,129,4,4
0,4,Worst is over for Toronto real estate,1995,88,2,3
0,5,Home sales plummet 45 per cent,1995,70,2,0
0,6,Home mortgage rates bumped up But bankers say rise won't slow housing sales,1995,78,2,3
0,7,Home sales jump 20% during July,1995,60,0,2
0,8,"LePage offers discounts in bid to spur home sales 61 firms selling goods, services included in deal",1995,72,3,2
0,9,Housing sales reports misleading,1995,59,1,4
0,10,Home sales will heat up this winter,1995,160,4,3
0,11,"Home sales, prices on rise, realtor says Better economy, rate stability to provide lift",1995,107,1,0
0,12,First-time buyers dominate real estate market,1995,81,1,1
0,13,Real estate market underwent a roller coaster ride in 1995,1995,163,2,4
0,14,"Resale home market plunges 20%, interest-rate hikes also lower prices",1995,92,0,3
0,15,Home builders say rate hikes are nothing to worry about Other factors affect market,1995,87,3,1
0,16,Mortgage rate hikes `postponing' upswing,1995,80,2,2
0,17,"Housing market crumbles again Rates hitting resale prices, too",1995,100,0,4
0,18,Metro area home sales drop 42%,1995,71,0,1
0,19,Tips on best way to launch home-hunting expedition Buyers should get pre-approved for a mortgage,1995,199,5,0
0,20,High rates slam door on housing market,1995,38,1,0
0,21,Real estate has positive side,1995,32,0,0
0,22,"Mortgage, price dips offer home bonanza",1995,88,1,4
0,23,New ploy will target the renters,1995,102,1,6
0,24,Smart buyers make the move this summer,1995,95,1,5
0,25,Sales of new homes surge,1995,79,2,0
0,26,This real estate recovery is no flash-in-the-pan Job creation is vital to sustain revived market,1995,91,3,5
0,27,Only some people live in `ghettos',1995,168,4,3
0,28,House buyers on spree as sales soar in August Existing-home sales in Metro leap 40 per cent,1995,69,1,0
0,29,Shortage of `move-up' buyers is blamed for stall in housing,1995,101,4,3
0,30,How livable must a new home be on closing day?,1995,79,3,1
0,31,"Rough, barky agents boost home sales",1995,109,4,1
0,32,It's on the House Free resource book offers tips to new home owners,1995,107,5,1
0,33,"Return of home boom is far off, realtor giant says",1995,79,3,2
0,34,Slow home sales spark mortgage-rate cut,1995,95,3,1
0,35,Metro area home sales drop 42%,1995,115,0,4
0,36,Renaissance of market is only matter of time Success in real estate means anticipating changes,1995,94,1,3
0,37,Is it Ontario's `Riviera'?,1995,105,4,1
0,38,New home sales tumble,1995,23,0,1
0,39,Young will be the victims of budget cuts,1995,47,1,3
0,40,Metro area home sales and prices slip in May,1995,45,0,1
0,41,GTA growth boom predicted House prices will soon rise consultant says,1995,151,0,2
0,42,House sales trigger alarm in Ottawa,1995,67,2,0
0,43,Sorting out those economic indicators,1995,114,2,4
0,44,Rate and price cuts credited for home sales holding firm,1995,62,0,2
0,45,Big gains...for now The good news New-home sales in Metro,1995,64,2,0
0,46,New home sales in the GTA highest since '88,1995,67,0,0
0,47,New-home sales post increase of 15 per cent,1995,43,0,0
0,48,Condos pull down new-home sales,1995,43,0,1
0,49,"The future according to Garth Garth Turner advises that you sell your house in the next few years, borrow and invest",1995,82,6,4
0,50,"Home prices edge lower, sales flat",1995,41,0,0
0,51,Small rise predicted in housing market,1995,69,6,1
0,52,Dim forecast on housing challenged,1995,107,4,2
0,53,U.S. vultures find U tasty pickings here Big funds eye failed trusts' properties north of border,1995,77,2,3
0,54,Montreal developer offers `anti-separation insurance',1995,82,3,2
0,55,Aftershocks Housing Builder fears rates will keep climbing,1995,86,3,4
0,56,Confed's message for policyholders: call a lawyer fast,1995,198,7,9
0,57,Labor fund founders mired in controversy,1995,89,0,8
0,58,House sales take the plunge Market compared to `elevator with its cables snapped',1995,67,2,2
0,59,House sales: Sky isn't falling,1995,102,4,1
0,60,"More cuts in loan rates predicted Most mortgage costs decline, strong dollar could soon give borrowers more breaks",1995,73,2,2
0,61,"More cuts in loan rates predicted Most mortgage costs decline, strong dollar could soon give borrowers more breaks",1995,73,2,2
0,62,"Prime cut, dollar up Slowdown fears mean further rate cuts expected",1995,78,1,1
0,63,Home buyers get lift on cut in rates,1995,88,3,1
0,64,Owning home should still be Canadian goal,1995,134,4,1
0,65,Home resales hit 14-month high in June,1995,44,0,0
0,66,"Relief - for a while Act now, before Quebec vote boosts rates, analysts advise",1995,90,1,1
0,67,"The LCBO's not perfect, but it works",1995,129,2,4
0,68,Thousands of agents sent packing in the GTA Real-estate slump takes toll in jobs,1995,91,3,2
0,69,Chinese philosophy challenge for builder,1995,132,7,1
0,70,Get ready for this market bubble to burst,1995,122,2,3
0,71,"Farmland, Seaton site to be sold in new year",1995,78,0,1
0,72,Harris belt tightening hailed in survey,1995,80,0,1
0,73,House construction slumps in December,1995,52,0,2
0,74,How to select a reliable home builder,1995,71,6,3
0,75,Rates hit resale market,1995,25,0,0
0,76,Coverage starts when owner takes possession,1995,110,3,5
0,77,Chicken Littles have laid some eggs,1995,148,4,3
0,78,Smoother ride in convertibles when stock market is bumpy,1995,168,2,4
0,79,Developers won't be hit by Toronto levies,1995,74,2,1
0,80,Wood chips are propping up mills,1995,82,1,3
0,81,Echo-boomers set to buy New homes are becoming more attractive to first-time buyers,1995,143,2,2
0,82,Don't take word of sales rep about options offered,1995,99,2,3
0,83,Beware debt analysts say in wake of collapse at Bramalea,1995,120,4,4
0,84,Break in rates for home buyers Mortgage cuts may give market shot in arm bankers hope,1995,55,1,1
0,85,Cutting cost of buying home Buyer trims time needed to pay off mortgage by almost 10 years,1995,74,1,0
0,86,Slump overblown: realtor,1995,36,1,0
0,87,City raises price of tax clearance,1995,32,1,1
0,88,"Homes moving within grasp Rates, prices and wages get credit",1995,83,2,2
0,89,Soft house market makes for a hard sell,1995,109,4,2
0,90,Battery Technologies profit is boosted by rechargeable battery,1995,103,1,2
0,91,McDonald's sues for right to name,1995,108,6,1
0,92,"`Worst' is behind us Canada's economy took a dive between April and June, new figures show, but economists say things are looking a lot better today",1995,92,2,4
0,93,Lot values seen falling further still,1995,131,2,1
0,94,Selling your house,1995,76,1,2
0,95,Rates hikes hit Metro house sales,1995,44,0,1
0,96,Builders urged to push benefits of buying new,1995,126,6,0
0,97,Investing in real estate,1995,74,1,3
0,98,One tough customer Property owners have discovered it's seller beware in real estate deals when businessman David Tal is involved,1995,112,4,3
0,99,Home builders bet Tories will spark sales,1995,61,1,1
0,100,Consumers expected to give housing a lift,1995,88,1,3
0,101,TSE posts small loss after late rebound,1995,83,3,5
0,102,Sputtering economy doesn't faze Martin,1995,87,2,4
0,103,Ask current home owners about builders,1995,76,3,1
0,104,"Housing in `depression,' retailer says",1995,93,1,3
0,105,A number of Starlane lots will back on to creek valley,1995,118,0,2
