,Index,Title,Year,Total Words,Positive Words,Negative Words
0,0,Welcome to housing's new Big Apple,2015,43,2,0
0,1,Not clear how borrowers will react to dip,2015,62,1,2
0,2,Calgarians fear oil slump will sink housing market,2015,36,0,2
0,3,No easy fix for housing market challenges,2015,9,0,0
0,4,Riding the real estate roller-coaster,2015,60,1,0
0,5,"Greenbelt helps to make GTA more, not less, livable",2015,22,0,1
0,6,Have green priorities cut quality of life?,2015,57,1,2
0,7,First-time homebuyers prepped for ownership,2015,27,2,0
0,8,"Home prices predicted to go up, up, up in Toronto, Vancouver",2015,34,0,1
0,9,"Toronto housing market poses 'moderate risk,' CMHC says",2015,53,0,2
0,10,Solutions for six challenges facing the GTA,2015,57,5,0
0,11,Toronto real estate market is too hot,2015,74,1,1
0,12,"Taxpayers at risk if housing market crashes, study says",2015,44,1,1
0,13,"Rate cut could fuel T.O., Vancouver markets",2015,65,0,0
0,14,"Real estate prices continue to climb despite sales lull, CREA says",2015,44,0,1
0,15,Intensification policies impact GTA home prices,2015,27,1,1
0,16,Young homebuyers head to 'burbs,2015,21,0,0
0,17,Red tape slows homebuilding,2015,39,0,1
0,18,Canadian real estate markets still overvalued,2015,41,1,1
0,19,GTA home sales truly hit one out of the park,2015,59,0,0
0,20,Virtual reality cracks Toronto's real estate market,2015,59,0,0
0,21,"Rising house prices worry builders, realtors",2015,46,2,2
0,22,Affordable housing is top of mind for GTA residents,2015,37,1,1
0,23,Quarter of Ontario homeowners struggle with expenses,2015,47,0,1
0,24,Doing your homework key in house hunt,2015,26,0,1
0,25,Real estate gods smile on no one,2015,110,3,2
0,26,Continuing GTA growth needs smart direction,2015,32,0,0
0,27,Weigh pros and cons of tapping your RRSP to purchase first home,2015,58,1,0
0,28,Province expected to lead growth,2015,11,0,1
0,29,Why property tax revenues don't rise with inflation,2015,108,1,2
0,30,BMO cuts five-year mortgage rate,2015,33,0,2
0,31,Toronto house prices climb 10 per cent in March,2015,62,0,2
0,32,Privileged kids are deserting Rosedale,2015,52,3,0
0,33,Smarten up homes with your smartphone,2015,28,1,0
0,34,Homebuyer dilemma: Urbs or the burbs?,2015,77,1,3
0,35,Blame your parents for GTA's real-estate bidding battles,2015,69,2,2
0,36,The rebate debate in home buying,2015,20,0,0
0,37,Health of cities depends on renewed federal role,2015,46,1,0
0,38,It may be better to rent that condo,2015,53,0,0
0,39,"Toronto average home price hits record $639,184",2015,47,2,1
0,40,'High risk' of housing correction,2015,56,0,4
0,41,Transfer tax keeps city from return to cash-flow crises,2015,64,2,2
0,42,Land Transfer Tax comes at a price,2015,28,0,0
0,43,Great transit benefits rich and poor alike,2015,54,4,0
0,44,Renos will be next housing boom: CMHC Trends from CMHC's annual outlook conference,2015,113,0,0
0,45,Full house with a modern twist,2015,133,4,1
0,46,Buying and selling at any age,2015,39,1,1
0,47,Building homes that people can afford,2015,23,1,0
0,48,Sales smash records across GTA,2015,63,0,0
0,49,Luxury villas a vision born in Toronto,2015,32,1,0
0,50,The future of lowrise housing,2015,27,0,0
